Total p2c burn,priority_5
month,Old priority,New priority
1,3194857.0,2378051.0
2,2824368.0,3019285.0
3,4856169.0,2776424.0
4,2787038.0,2663080.0
5,3005590.0,2210890.0
6,3507513.0,2538613.0
