Ted,priority_5
month,Old priority,New priority
1,8102606.0,6604042.0
2,7865030.0,9050429.0
3,25619626.0,8129413.0
4,7411481.0,7768363.0
5,7460556.0,5198102.0
6,9301344.0,5458648.0
