R burn gmv,priority_5
month,Old priority,New priority
1,0.072884702,0.091164479
2,0.066404044,0.071967741
3,0.143824437,0.073525984
4,0.076687035,0.092634806
5,0.078080049,0.073323823
6,0.088716551,0.070985064
