Ted gmv,priority_5
month,Old priority,New priority
1,0.134283505,0.158196648
2,0.140439428,0.151089103
3,0.248944898,0.140741564
4,0.137502561,0.149192814
5,0.137245379,0.129246505
6,0.158492782,0.137254932
