R burn gmv,Priority 3
month,Priority
1,0.1200122918128844
2,0.1325991050532921
3,0.0463782794732338
4,0.2014346632378528
5,0.0978815717834705
6,0.1340103127814993
7,0.1278238112894176
8,0.1357001751567145
9,0.1412484396870435
