Tri per order,Priority 3
month,Priority
1,1917.4847689438416
2,1760.8919470761189
3,2360.7835218093696
4,1894.19794344473
5,2151.949839914621
6,2131.491757137113
7,2024.5917474210687
8,2035.9694656488548
9,1982.337486157253
