Exposure per eff online,Priority 3
month,Priority
1,292.57291289114414
2,357.0067852129153
3,239.24929178470256
4,212.1818181818182
5,142.8881497905888
6,185.64443885254155
7,194.26361888485368
8,191.548903508772
9,197.35915985997667
