Bad rating rate,Priority 3
month,Priority
1,0.022587552669752
2,0.0227049983665468
3,0.0193861066235864
4,0.0257069408740359
5,0.0224119530416221
6,0.0285484519501407
7,0.0225070334479524
8,0.0234662143059089
9,0.0218715393133997
