P2c burn per order,Priority 3
month,Priority
1,369.5492850728742
2,378.8622182293368
3,493.9822294022617
4,479.5089974293059
5,509.2113127001067
6,489.3409730599115
7,429.0296967802439
8,368.0981057393272
9,462.27851605758576
