Ted per order,Priority 3
month,Priority
1,1516.7864198383645
2,1598.5820810192747
3,1183.7124394184168
4,3055.760925449872
5,1728.4845250800429
6,2288.055086449537
7,2107.119724914036
8,2112.2575629064177
9,2222.176079734219
