B2c per order,Priority 3
month,Priority
1,134.7420736340402
2,140.49264946096048
3,229.31017770597737
4,584.370179948586
5,280.3762006403415
6,475.88942501005226
7,518.629884338856
8,498.1424936386768
9,470.99640088593577
