Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.02066153149,0.02122166247
2,0.01959621805,0.02075214341
3,0.0227663561,0.02364757147
4,0.02097389634,0.02137773529
5,0.02174022066,0.02213828559
