R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.17017452,0.172968715
2,0.174014916,0.17814597
3,0.188758007,0.192638983
4,0.199437019,0.202986669
5,0.202999466,0.205720195
