B2c per order,Priority 3
month,Priority
1,2.476569780341691
2,2.3908778659227616
3,2.630231502496596
4,2.428154981549816
5,5.301655969191272
6,4.5379595588235295
7,2.6196159169550173
8,2.2579956803455725
9,1.897791364157432
