B2c gmv,Priority 3
month,Priority
1,0.0563967357103115
2,0.0552236056098782
3,0.0617850729507223
4,0.0571237440077059
5,0.1162142483797147
6,0.104152855965901
7,0.0618679694421333
8,0.0532780256045919
9,0.0453271637895236
