Daily orders,Priority 3
month,Priority
1,436.1612903225807
2,395.5517241379311
3,71.06451612903226
4,45.16666666666666
5,50.25806451612903
6,72.53333333333333
7,93.2258064516129
8,74.6774193548387
9,87.23333333333333
