R burn gmv,Priority 3
month,Priority
1,0.1935235298818556
2,0.2255317880817371
3,0.1438352958212011
4,0.1208023558216424
5,0.1341844476538664
6,0.1591338687903529
7,0.2013610693406448
8,0.1934959195465385
9,0.2372351134657594
