B p1,Priority 3
month,Priority
1,0.0791313701567316
2,0.0666347300141125
3,0.0455907251237563
4,0.0500429824058685
5,0.060875870247817
6,0.0632922980817904
7,0.0587075960078648
8,0.0608970557641344
9,0.0592259382943727
