Daily online hours,Priority 2
month,Priority
1,4665.60217741936
2,4620.696561302676
3,5194.976191756285
4,6881.344074074023
5,6445.116756272423
6,7336.2374074073905
7,7695.623458781359
8,8247.279731182787
9,9077.939083333356
