Ted per order,Priority 2
month,Priority
1,20270.10774856076
2,19338.198529208865
3,15242.957457054026
4,16144.875828439956
5,14569.042669295955
6,16565.028824149547
7,15872.039623245637
8,16541.114387140144
9,16990.137274444587
