Tri per order,Priority 2
month,Priority
1,6553.985271838379
2,6531.712133337012
3,7039.574089001016
4,6725.75328800522
5,6709.656537667128
6,6940.876713121288
7,6842.942699717168
8,6712.721014022714
9,6670.33462746416
