R burn per order,Priority 2
month,Priority
1,13151.354777951568
2,12457.404872283085
3,8918.689689825913
4,9793.71615844236
5,9010.467764281888
6,9685.35540999203
7,9805.243669619513
8,9953.616757674752
9,10612.853749695782
