Asp,Priority 2
month,Priority
1,26521.688034852963
2,26565.32555166165
3,29526.02545877081
4,28249.40157446516
5,28510.175454105007
6,28087.41091769304
7,28082.17410213992
8,26921.33110235756
9,27300.119189449164
