P2c burn per order,Priority 2
month,Priority
1,5267.270720562103
2,5118.602173533119
3,4787.013085305724
4,4616.655978503485
5,4027.846475533154
6,4217.038607904143
7,3754.389855381824
8,4161.697857083889
9,4220.243594052407
