Daily orders,Priority 2
month,Priority
1,7878.258064516129
2,7497.724137931034
3,3081.516129032258
4,3882.8
5,3795.129032258064
6,5185.466666666666
7,4835.870967741936
8,5470.387096774193
9,5752.466666666666
