B2c per order,Priority 2
month,Priority
1,1851.4822500470875
2,1762.1914833926617
3,1537.2546819223885
4,1734.5036914941109
5,1530.7284294809135
6,2662.634806253375
7,2312.4060982443034
8,2425.799772381503
9,2157.039930696397
