Active rs,Priority 2
month,Priority
1,528.6129032258065
2,519.4137931034483
3,574.9354838709677
4,737.3333333333334
5,699.4193548387096
6,822.6333333333333
7,843.4193548387096
8,885.3870967741935
9,966.1666666666666
