R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,25.8858479454599,26.173770843663185
2,25.4784709110219,25.775506396694784
3,23.4611895878525,27.40900998565959
4,21.1061621362711,28.00996913896537
5,27.3195388014361,30.354697549126797
6,31.6413962219876,33.33864892164196
