B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,504688.06,3772544.38
2,573034.72,3100900.78
3,364383.68,4128748.1
4,80802.85,5705660.22
5,97766.42,4129874.04
6,117548.88,5294712.21
