B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.0077035650247864,0.0128120200764151
2,0.006600791713763,0.0122894257248898
3,0.0046634860468511,0.0128499459277433
4,0.0026005883131291,0.0126384269216891
5,0.0034728779508831,0.0119411027227501
6,0.0038514755302987,0.0120797872397551
