R burn,Old_3_vs_New_2
month,Old priority,New priority
1,975818.81,15413943.04
2,863618.25,14218104.41
3,540780.42,16666651.52
4,176257.56,16672906.12
5,395696.2,20407189.97
6,539359.24,23533352.21
