Ted,Old_3_vs_New_2
month,Old priority,New priority
1,1932846.54,26224434.91
2,1766676.84,22416881.15
3,1130729.07,26661644.86
4,356917.92,28602969.22
5,654655.09,31449969.97
6,838927.06,36239834.99
