Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,2.73604336,4.435535074
2,1.849684577,4.115887308
3,1.696856907,4.221221751
4,0.7154359328,4.039039684
5,1.020794824,4.427816901
