B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.04195166439,0.02505913258
2,0.05159283492,0.02326772925
3,0.05543310558,0.02285207276
4,0.1104635762,0.02264331305
5,0.08085681204,0.0208738694
