R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.092525648,0.175053657
2,0.117335653,0.176450223
3,0.168186377,0.186605872
4,0.122539118,0.20266555
5,0.15566083,0.207675396
