B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,12385062.0,97471863.0
2,17304309.0,123803684.0
3,16914099.0,147777879.0
4,2648006.0,134274884.0
5,7597286.0,174204828.0
