Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.183922788,0.314655373
2,0.244251026,0.324795605
3,0.328242977,0.329756874
4,0.255900445,0.339678803
5,0.301580986,0.336433527
