Ted per order,Priority 1
month,Priority
1,18005.41531148361
2,14440.620899149451
3,20407.55682361924
4,20413.691628169592
5,19999.271065059074
6,20026.35767175968
7,19879.50001272788
8,20394.262260735806
9,20217.918656198624
