Daily online hours,Priority 1
month,Priority
1,436.2712634408607
2,269.1661781609195
3,2933.9222043010664
4,2959.264314814829
5,3173.2550000000074
6,3882.948712962962
7,4515.479005376333
8,4829.20120071683
9,4910.122148148138
