Tri per order,Priority 1
month,Priority
1,9950.61245934451
2,6529.831915755367
3,6520.176925426317
4,6474.254891694897
5,6421.502010932553
6,6465.904285134199
7,6467.041285588046
8,6458.889956705365
9,6317.6114884148565
