R burn per order,Priority 1
month,Priority
1,12202.752314235677
2,7374.34345889024
3,13632.362921863069
4,13539.728652089108
5,13770.89869656974
6,13756.98468912474
7,13675.196340190629
8,13582.271841248585
9,13866.26105621503
