P2c burn per order,Priority 1
month,Priority
1,4957.641981486115
2,5625.489671931956
3,4988.539124459149
4,4718.438897443793
5,4228.612032728468
6,4362.892847759104
7,3891.5520370053855
8,4336.336822982623
9,4273.236607615877
