B2c per order,Priority 1
month,Priority
1,845.0210157618213
2,1440.787768327258
3,1786.654777297022
4,2155.5240786366903
5,1999.760335760868
6,1906.4801348758328
7,2312.751635531861
8,2475.6535965046046
9,2078.4209923677167
