Healthy stores,Priority 1
month,Priority
1,51.03225806451613
2,29.310344827586206
3,305.61290322580646
4,315.4
5,334.16129032258067
6,404.1333333333333
7,484.4516129032258
8,514.5483870967741
9,523.7333333333333
