P2c gmv,Priority 1
month,Priority
1,0.0833043095715497
2,0.1412382724285004
3,0.106190688022129
4,0.1008141528524194
5,0.0906773620020272
6,0.0927221182906269
7,0.0840765009181495
8,0.0942657874702954
9,0.0929816800641732
