B p2,Priority 1
month,Priority
1,0.0748332238775016
2,0.0915663460891788
3,0.1659701539207179
4,0.1619643869762358
5,0.1609440433189801
6,0.1638679066350753
7,0.1820550390937634
8,0.1752935005380617
9,0.1746136188644793
