B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,4.22535211267605%,4.22535211267605%,,1,1.05624215287337%,1.9809069212410502%,,1,5.613483788030281%,1.0194029380240799%,,1,3.6173729488609205%,3.7866481008741397%,,1,9.76429908320908%,8.18735575649805%
2,4.16159155501421%,4.16159155501421%,,2,0.83801714827304%,1.64750957854406%,,2,4.38504907078722%,0.84473084730138%,,2,3.24165446403938%,3.4699500602720796%,,2,8.64460695897419%,7.91333565056192%
3,4.72739024052444%,4.72739024052444%,,3,0.81593651817277%,0.62163485070974%,,3,3.4079283887467997%,2.4961382173814597%,,3,2.96409623247532%,2.87700016162922%,,3,8.08750065730662%,8.42832570478994%
4,3.49381017881705%,3.49381017881705%,,4,0.80213327199936%,0.58558182683859%,,4,6.819984139571759%,2.21968533689211%,,4,3.1497551849050502%,3.3095354523227303%,,4,7.99205325711895%,7.86076093993982%
5,2.9111078886310904%,2.9111078886310904%,,5,0.6907827757128899%,0.51239497977388%,,5,8.19870759289176%,2.0854013897339%,,5,2.93093441671503%,2.56219631999575%,,5,7.63884501168888%,7.57551644014387%
6,3.10910118711136%,3.10910118711136%,,6,0.70516997936352%,0.59548074688448%,,6,7.71388499298737%,1.9749672448874802%,,6,2.93630214652171%,2.99591637027418%,,6,7.65818495471628%,8.2228862717525%
,,,
B p1p2,Old_1_vs_New_Rs,,,B p1p2,Old_2_vs_New_1,,,B p1p2,Old_3_vs_New_2,,,B p1p2,priority_4,,,B p1p2,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,0.58875528966545%,0.58875528966545%,,1,1.2669315366282101%,0.6898628399725301%,,1,0.7834419537936401%,1.27662989631756%,,1,0.67681568932667%,0.66331675632339%,,1,0.19965667997197%,0.25058888729614004%
2,0.61945271840134%,0.61945271840134%,,2,1.20032006369604%,0.6947793316544301%,,2,0.8610397054443201%,1.2061717941365%,,2,0.67653558388956%,0.53043601341113%,,2,0.23044270254011%,0.26530681642218%
3,0.53206452509197%,0.53206452509197%,,3,1.19612769471335%,1.29479312210752%,,3,0.84029600631711%,0.93377098449621%,,3,0.67976633153652%,0.57277125703398%,,3,0.21817035747358%,0.21039567527587003%
4,0.59557875618383%,0.59557875618383%,,4,1.22772775257717%,1.33699704317598%,,4,0.49167393877087%,0.9007267141489099%,,4,0.66294651611831%,0.54880525218059%,,4,0.19748726628195%,0.20212498130489%
5,0.7001691803855%,0.7001691803855%,,5,1.190134014769%,1.27797349407203%,,5,0.46641799150055%,0.88432195654659%,,5,0.68674229174408%,0.62763466630787%,,5,0.20261109997958998%,0.22339842747611002%
6,0.69377430210737%,0.69377430210737%,,6,1.2272179694941%,1.28173464898213%,,6,0.43877383530768%,0.98235963284181%,,6,0.7529971790858699%,0.5870921844678101%,,6,0.19215040194743002%,0.1955867425865%
,,,
Daily online hours,Old_1_vs_New_Rs,,,Daily online hours,Old_2_vs_New_1,,,Daily online hours,Old_3_vs_New_2,,,Daily online hours,priority_4,,,Daily online hours,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,183330.23118279572%,183330.2311827957%,,1,486525.5331541218%,43627.12634408602%,,1,84675.07437275983%,466560.2177419354%,,1,926615.7939068102%,618091.0211111113%,,1,1282500.7347670249%,1100226.8311111112%
2,249623.18678160908%,249623.18678160914%,,2,465904.0680076629%,26916.61781609195%,,2,104098.28927203061%,462069.65613026824%,,2,986958.8668582375%,640655.6379310347%,,2,1475190.3122605365%,1475773.4693486593%
3,305694.9695340502%,305694.96953405015%,,3,455154.11200716847%,293392.22043010755%,,3,117033.19534050181%,519497.6191756273%,,3,953432.4489247312%,643571.4632616489%,,3,1402561.7249103943%,1294015.7840501794%
4,287305.3768518519%,287305.3768518519%,,4,518126.36111111095%,295926.4314814815%,,4,66959.08611111112%,688134.4074074074%,,4,1012865.149074074%,635402.112962963%,,4,1422940.3416666668%,1250019.9333333333%
5,264869.74820788525%,264869.74820788525%,,5,531955.1173835126%,317325.5%,,5,91553.73476702509%,644511.6756272403%,,5,964528.7159498208%,657595.0591397849%,,5,1454684.3584229392%,1282310.1469534053%
6,241152.54351851853%,241152.5435185185%,,6,614530.7379629628%,388294.8712962961%,,6,86328.50833333333%,733623.7407407407%,,6,958668.1944444446%,542096.0564814813%,,6,1378639.8731481482%,1181417.908333333%
,,,
Daily orders,Old_1_vs_New_Rs,,,Daily orders,Old_2_vs_New_1,,,Daily orders,Old_3_vs_New_2,,,Daily orders,priority_4,,,Daily orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,39083.870967741925%,39083.870967741925%,,1,820290.3225806451%,12893.548387096775%,,1,20554.83870967742%,787825.8064516129%,,1,301403.22580645164%,191648.0%,,1,87516.12903225806%,92356.0%
2,46882.75862068966%,46882.75862068966%,,2,753744.8275862068%,8513.793103448275%,,2,30410.34482758621%,749772.4137931034%,,2,304396.551724138%,149665.5172413793%,,2,92165.51724137932%,105317.24137931035%
3,63583.87096774194%,63583.87096774194%,,3,787167.7419354839%,633709.6774193548%,,3,46619.35483870968%,308151.6129032258%,,3,336638.7096774194%,205058.06451612903%,,3,107645.1612903226%,96545.16129032259%
4,66430.0%,66430.0%,,4,884536.6666666666%,649400.0%,,4,11080.0%,388280.0%,,4,309320.0%,156956.66666666666%,,4,83000.0%,75900.0%
5,82367.74193548386%,82367.74193548386%,,5,1016761.2903225808%,745922.5806451612%,,5,13596.774193548386%,379512.90322580637%,,5,341445.1612903226%,227067.74193548385%,,5,89419.35483870968%,88848.3870967742%
6,81246.66666666667%,81246.66666666667%,,6,1173530.0%,837313.3333333334%,,6,14469.999999999998%,518546.6666666666%,,6,388806.6666666667%,163476.6666666667%,,6,93956.66666666669%,81543.33333333333%
,,,
Eff online rs,Old_1_vs_New_Rs,,,Eff online rs,Old_2_vs_New_1,,,Eff online rs,Old_3_vs_New_2,,,Eff online rs,priority_4,,,Eff online rs,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,25903.225806451617%,25903.225806451617%,,1,55903.225806451606%,5874.193548387097%,,1,12570.967741935485%,53619.35483870968%,,1,113474.19354838709%,76092.0%,,1,180638.70967741936%,154836.0%
2,34200.0%,34200.0%,,2,53320.68965517242%,3410.344827586207%,,2,15310.344827586207%,52910.34482758621%,,2,119944.82758620691%,74434.48275862068%,,2,206068.9655172414%,206079.3103448276%
3,42106.45161290323%,42106.45161290323%,,3,52187.096774193546%,32416.129032258068%,,3,16932.25806451613%,68729.03225806452%,,3,116106.45161290321%,75941.93548387097%,,3,196316.12903225806%,181864.5161290323%
4,38996.66666666666%,38996.66666666666%,,4,60079.99999999999%,33186.666666666664%,,4,10626.666666666668%,87800.0%,,4,123803.33333333333%,77050.0%,,4,197443.33333333328%,174486.66666666666%
5,35529.032258064515%,35529.032258064515%,,5,60693.548387096766%,35167.74193548387%,,5,13509.677419354839%,84829.03225806452%,,5,119106.45161290321%,78112.90322580645%,,5,200406.45161290318%,177535.4838709677%
6,32020.0%,32020.0%,,6,71486.66666666667%,42890.0%,,6,12650.0%,95953.33333333331%,,6,118193.33333333334%,66110.0%,,6,191350.0%,164926.6666666667%
,,,
