B p2,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0767193248699411,0.0748332238775016,0.1116392850778731,0.0710485887099772,0.0816988374276394,0.0554838076249169
2,0.0928937402539541,0.0915663460891788,0.1603490731196518,0.1258297909177476,0.0893768798743645,0.0624375822591419
3,0.0849928418170375,0.1659701539207179,0.1286083702750369,0.0936920983160345,0.0939049045011938,0.0557878772589534
4,0.0882420465109277,0.1619643869762358,0.1209941701385865,0.0693160481720224,0.0869726370177356,0.054199376277019
5,0.1000976983916013,0.1609440433189801,0.1194460773871616,0.0747654645179051,0.095927691982636,0.0579577427403514
6,0.1026692174546779,0.1638679066350753,0.130853233603389,0.1029353244953164,0.0928675205005202,0.0551687217095577
7,0.1081576256065452,0.1820550390937634,0.1397655889939373,0.1371320673693251,0.0990776627581808,0.0517747946181812
8,0.1035062992099747,0.1752935005380617,0.1331550298884561,0.1232250125028798,0.0980849852492107,0.0507410556308738
9,0.0943792483787795,0.1746136188644793,0.1284113463306232,0.126811823533135,0.1001297612714992,0.056326260103909
