B cancel order cnt,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,555,83,2587,1913,1958,2164
2,615,43,1906,1717,1612,2732
3,1024,1270,2537,338,1958,2891
4,762,1193,2761,223,1692,2064
5,803,1235,2605,280,1930,2380
6,825,1563,3271,406,1592,2339
7,795,1753,3052,510,1575,2047
8,777,1833,3011,403,1624,1614
9,798,1936,3000,353,1363,1499
