Bad rating rate,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0429184549356223,0.0275206404803602,0.0295341200363597,0.0267904381703621,0.0301803306061112,0.0317034085495257
2,0.0383936451897616,0.0425273390036452,0.0266333692062878,0.0240331150376868,0.0285464138423611,0.0288127823980092
3,0.0414996702348942,0.0288928480529396,0.0267987061249699,0.0274837133550488,0.0307701988421847,0.0319088509472418
4,0.0342716644086507,0.0288830715532286,0.0280124308917962,0.026709188758222,0.0301781808142374,0.0303030303030303
5,0.0296075820474661,0.0289012091542839,0.0267575585002847,0.0264610389610389,0.0312255828159849,0.0296627092183131
6,0.0416837613850824,0.0280659569894185,0.0267092643542207,0.0253756260434056,0.0318088208306995,0.0297592282222131
7,0.0323785803237858,0.0269067264997981,0.0254415924008751,0.0257383100902379,0.0329099434257159,0.0266861893066314
8,0.0362589198391712,0.0248861278153115,0.0256454104798858,0.0207896051974013,0.0273229573559472,0.0269360269360269
9,0.0362210604929051,0.0258226152105628,0.0250153557314543,0.0214392328915826,0.0307338299956712,0.0293508644787245
