Eff online rs,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,259,58,536,776,760,1548
2,342,34,529,577,744,2060
3,421,324,687,225,759,1818
4,389,331,878,192,770,1744
5,355,351,848,180,781,1775
6,320,428,959,238,661,1649
7,281,513,1000,172,640,1579
8,293,548,1056,166,702,1412
9,330,557,1161,172,667,1326
