Ted per order,Priority 4
month,Priority
1,13627.344318751044
2,14171.998110729672
3,15086.955040271834
4,14126.229341431816
5,16038.794576011136
6,13596.828273148052
7,13698.97395821868
8,15390.228035378168
9,17304.4391588636
