B p1p2,Priority 4
month,Priority
1,0.0066331675632339
2,0.0053043601341113
3,0.0057277125703398
4,0.0054880525218059
5,0.0062763466630787
6,0.0058709218446781
7,0.0059304291883691
8,0.0061670716362216
9,0.005993311043243
