Tri per order,Priority 4
month,Priority
1,7001.995658707631
2,7401.347902218739
3,7354.217876919203
4,7001.146197464268
5,7071.24231790996
6,6876.437860652896
7,6740.393444427323
8,6692.901414722014
9,6815.253593967147
