R burn per order,Priority 4
month,Priority
1,7474.146226415094
2,7720.101214201783
3,8470.593285930026
4,8621.729585660585
5,9906.036865508377
6,8905.346960830291
7,9335.770268782882
8,10201.61970491206
9,11303.77303898116
