P2c burn per order,Priority 4
month,Priority
1,5438.025776423442
2,4873.512959933645
3,4781.19264409766
4,4604.012593709517
5,4145.416828855961
6,4222.608445649736
7,3845.198758447619
8,4426.521443461717
9,4340.371152575582
