country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,gmv,realpay_price,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,tri_gmv,aop,asp,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
CO,3,Priority 1,324.16129032258067,196450,6337.096774193548,19.549208876505126,322.19354838709677,0.006216348507097406,0.02889284805293968,2933.922204301076,305.61290322580646,16397523,1279230,212314,201061,0.07801361217788809,0.16597015392071793,0.01294793122107528,9228667120,5219602582,2678077696,0.290191169,13632.3629218630695,350988331,0.0380324,1786.654777297022,6520.1769254263171,0.138794556,46977.180554848562,26569.6237312293204,979998511,0.10619069,4988.53912445915,4009064538,0.434414254,20407.5568236192415,5439,0.0276864342071774,204300,1270,1631.7566922081799
CO,5,Priority 3,180.70967741935485,6160,198.70967741935485,1.0996072831131738,89.3225806451613,0.041872289516973235,0.02646103896103896,1409.795448028674,159.7741935483871,1524266,94442,7061,6581,0.06195900190649139,0.07476546451790517,0.0046323935586046,321303085,207446411,59431207,0.184969301,9647.9232142857143,29097834,0.09056195,4723.674350649351,8473.9199675324675,0.162461394,52159.5917207792208,33676.3654220779221,25327633,0.07882786,4111.628733766234,113856674,0.354359106,18483.2262987012987,168,0.02727272727272727,6687,280,272.0931810067833
MX,2,Priority 5,9611.758620689656,184201,6351.758620689655,0.6608320986148432,3479.862068965517,0.07171514056458977,0.022350584415936937,67793.64823754788,7021.3448275862065,92610856,3104933,216634,202236,0.03352666343997512,0.06977090971045108,0.002339185807763185,46503497.54,39752123.5,3328374.18,0.071572556,18.0692514155732,1587969.77,0.03414732,8.62085314412,60.1330619812053,0.238187894,252.4606138946043,215.8084022345156,1835048.09,0.03946043,9.962204819735,6751374.04,0.14517992,36.6522116600887,4667,0.025336453113718165,205884,14765,332.246981965337
MX,6,Priority 4,7107.033333333334,651626,21720.866666666665,3.0562494430399934,5938.333333333333,0.02914875783006426,0.01834027494298877,52053.420638888885,5956.333333333333,93053936,5976024,714457,680079,0.06422107711811352,0.11955390406731968,0.0076778804928788824,169625160.95,143701466.39,18301569.51,0.107894191,28.0860025689583,408258.28,0.00240683,0.626522391679,59.1191061744007,0.227109861,260.310609076372,220.5275209859643,7213866.77,0.04252828,11.070563129771,25923694.56,0.1528293,39.7830880904077,13010,0.01996544029857618,690767,20135,436.4405964045007
CO,6,Priority 2,959.5333333333333,155564,5185.466666666666,5.4041547974709925,822.6333333333333,0.019749672448874853,0.02670926435422077,7336.237407407408,850.8666666666667,17626844,1323307,173159,162724,0.07507339373968477,0.13085323360338907,0.009823596328418178,6946312136,4369389992,1506692629,0.216905402,9685.355409992029,414210121,0.05963022,2662.634806253375,6940.8767131212877,0.155442273,44652.4397418425857,28087.4109176930395,656019394,0.09444139,4217.038607904142,2576922144,0.370977015,16565.0288241495462,4014,0.025802884986243602,165623,3271,612.340860140346
MX,6,Priority 5,7427.433333333333,178130,5937.666666666667,0.7994237578705968,2809.7,0.07006963348423095,0.021085723909504295,52039.81936111112,5410.566666666667,107603516,3106199,207697,195644,0.02886707716874233,0.06686532318116128,0.0019302064441834783,43316283.39,38291356.54,2930688.45,0.067657893,16.4525259641835,90001.83,0.00207778,0.505259248863,57.8364159321844,0.237841291,243.1723089316791,214.9629851232246,2004236.57,0.04626982,11.251538595408,5024926.85,0.116005494,28.2093238084545,4018,0.022556559815864817,199473,13977,482.91027407404084
CR,5,Priority 4,153.83870967741936,7994,257.8709677419355,1.6762423988257495,110.19354838709677,0.025960296017855045,0.02489367025268952,1492.885152329749,137.74193548387098,1532928,91648,9208,8379,0.05978623914495658,0.1004713687150838,0.0060068052772211085,67186191,54467906,8252100,0.122824346,1032.2867150362772,873959,0.01300802,109.326870152614,1841.6048286214661,0.219119268,8404.5773079809857,6813.5984488366275,3592226,0.05346673,449.365273955467,12718285,0.189299093,1590.9788591443583,196,0.024518388791593695,8513,221,321.4359404487314
PE,1,,143.03225806451613,5034,162.38709677419354,1.13531799729364,54.83870967741935,0.03544114903935833,0.03297576479936432,1029.9397670250894,100.70967741935483,1497793,125524,5857,5287,0.08380597318855142,0.04666039960485644,0.003910420198251694,228030.46,122521.66,54256.39,0.237934836,10.7779876837505,15095.73,0.0662005,2.998754469607,9.2796503774335,0.204857544,45.2980651569329,24.3388279698053,36156.68,0.15856075,7.18249503377,105508.8,0.46269608,20.9592371871275,152,0.030194676201827572,5361,190,337.79724853405503
CR,6,Priority 3,132.46666666666667,2487,82.9,0.6258178158027177,44.6,0.046108447067502764,0.028548451950140732,1164.7747500000003,104.26666666666667,737751,40857,2940,2655,0.055380473899730394,0.071958293560467,0.00398508439839458,24549342,18858949,3289865,0.134010313,1322.8246883795738,1183537,0.04821054,475.889425010052,2131.491757137113,0.215933282,9871.0663449939686,7583.011258544431,1216991,0.04957326,489.340973059912,5690393,0.231794115,2288.0550864495376,74,0.029754724567752314,2711,125,185.64443885254153
PE,2,Priority 3,226.31034482758622,11471,395.55172413793105,1.7478287368581442,150.72413793103448,0.030857142857142857,0.031209136082294482,1623.2733429118773,177.3793103448276,2008142,133812,13405,12031,0.06663473001411255,0.1001778614772965,0.006675324752930818,496631.1,312187.9,112006.1,0.225531788,9.7642838462209,27425.76,0.05522361,2.390877865923,8.5658469183158,0.197850739,43.2944904541888,27.2154040624183,45011.34,0.09063335,3.923924679627,184443.2,0.371388743,16.0790863917706,337,0.029378432569087263,12250,378,305.97927776931283
CR,7,New Rs,36.193548387096776,2013,64.93548387096774,1.7941176470588236,20.612903225806452,0.047488584474885846,0.026328862394436166,294.28137096774196,28.870967741935484,295893,20249,2269,2144,0.06843352157705657,0.11205491629216258,0.007668312531894975,16523564,12014799,1383065,0.083702584,687.066567312469,2224927,0.13465176,1105.279185295579,1906.7521112767014,0.232292016,8208.4272230501739,5968.6035767511177,900773,0.05451445,447.477893691008,4508765,0.272868795,2239.8236462990561,53,0.026328862394436166,2190,104,263.7192513368984
CR,1,Priority 1,9.545454545454545,443,40.27272727272727,4.219047619047619,7.636363636363637,0.018480492813141684,0.03160270880361174,98.40222222222222,9.181818181818182,46526,6919,513,476,0.14871254782272278,0.07414366237895649,0.01102609293728238,3564503,2784990,568925,0.159608506,1284.255079006772,41127,0.01153793,92.837471783296,1715.0135440180587,0.2131436,8046.2821670428894,6286.6591422121896,169461,0.04754127,382.530474040632,779513,0.21868771,1759.6230248306998,17,0.03837471783295711,487,9,443.1047619047619
