country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,
CR,2,Priority 3,142.2068966,1572,54.20689655,0.3811833172,39.03448276,0.06689734717,0.02608142494,1247.13364,118.9655172,562761,28771,1905,1715,0.05112472257,0.06621250565,0.003385095982,940085,0.06148412,598.0184478,461196,0.03016347,293.3816794,2316.073155,740569,0.04843523,471.0998728,2141850,0.140082825,1362.5,48,0.03053435115,1734,116,136.4599903
CR,3,Priority 5,414.9677419,5471,176.483871,0.425295398,117.0645161,0.08936579116,0.03162127582,3481.874946,322.483871,3376638,122154,6805,6117,0.03617622025,0.05570836813,0.002015318195,3219750,0.06761629,588.512155,854445,0.01794375,156.1771157,2054.99671,2189967,0.04599035,400.2864193,6264162,0.131550398,1144.97569,175,0.0319868397,6244,558,262.4874067
CR,3,New Rs,43.64516129,1378,44.4516129,1.018477458,19.58064516,0.05043712172,0.02612481858,371.3060036,34.77419355,289296,17858,1536,1459,0.06172916321,0.08601187143,0.00530944085,1450444,0.117601778,1052.571843,1493681,0.12110743,1083.948476,1977.718433,550696,0.04465035,399.6342525,3494821,0.283359553,2536.154572,39,0.02830188679,1487,75,213.8181818
CR,3,Priority 1,80.5483871,37636,1214.064516,15.07248698,79.77419355,0.01047201047,0.02364757147,840.2919176,77.77419355,2609718,187210,40546,38340,0.0717357201,0.2165803109,0.01553654456,60098914,0.192638983,1596.846477,12405373,0.03976375,329.6145446,1598.384658,13262422,0.04251091,352.3865979,85766709,0.274913646,2278.847619,889,0.02362100117,38961,408,1045.14137
CR,3,Priority 3,136.4193548,1805,58.22580645,0.4268148498,40.90322581,0.05918057663,0.02049861496,1187.472007,112.2903226,783700,34230,2158,1944,0.04367742759,0.06304411335,0.002753604696,949260,0.054037964,525.9058172,361098,0.02055601,200.0542936,2336.583934,916048,0.05214732,507.5058172,2226406,0.126741301,1233.465928,39,0.0216066482,1977,117,185.3156775
CR,3,Priority 4,132.2580645,8846,285.3548387,2.157560976,106.7096774,0.02422293676,0.02814831562,1292.954023,116.0645161,1771061,94105,10100,9187,0.0531348158,0.1073269221,0.005702796233,8784939,0.114355238,993.0973321,1403767,0.0182731,158.6894642,1935.312345,3663966,0.04769455,414.1946643,13852672,0.180322892,1565.981461,230,0.02600045218,9330,226,431.9660976
CR,3,Priority 2,139.0967742,13633,439.7741935,3.161641929,118.2258065,0.02843864882,0.02222548229,1238.925332,126,1652310,104967,15359,14210,0.06352742524,0.1463221774,0.009295471189,17283494,0.152166963,1267.768943,2262811,0.01992219,165.9804152,1748.538693,4827618,0.04250321,354.1126678,24373923,0.214592364,1787.862026,318,0.02332575369,14417,410,383.1887755
CR,3,,0.6451612903,15,0.4838709677,0.75,0.3225806452,0.0625,0.06666666667,5.832724014,0.6129032258,95398,1105,18,16,0.01158305206,0.01628959276,1.89E-04,7402,0.053106996,493.4666667,0,0,0,2287,10113,0.07255756,674.2,17515,0.125664555,1167.666667,0,0,16,1,4769.9
CR,4,,0,0,0,null,0,null,null,0,0,83497,747,0,0,0.008946429213,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
CR,4,Priority 5,417.3,4757,158.5666667,0.3799824267,109.1,0.08029334336,0.02858944713,3522.353917,327.1,2694420,101400,5805,5234,0.03763333111,0.05724852071,0.002154452535,2596285,0.064107846,545.7820055,180404,0.00445456,37.92390162,2006.024175,2146829,0.05300981,451.2989279,4923518,0.121572221,1035.004835,142,0.02985074627,5318,427,215.2264558
