Country,priority,week,daily_orders,eff_online_days,orders_per_eff_online,orders_per_active,online_hours,daily_exp_uv,total_exp_uv,shop_enter_uv,b_p1,b_p2,b_p1p2,b_cancel_rate,b_bad_rating_rate,shop_star_score,daily_gmv,gmv,r_burn,r_burn_gmv,r_burn_order,b2c_total_burn,b2c_gmv,b2c_per_order,total_p2c_burn,p2c_gmv,p2c_per_order,ted,ted_gmv,ted_order,formula,formula_per_order,tri_per_order,aop,asp,avg_delivery_fee
CR,Priority 4,11,325,159,2.04,2.65,1514.4,55982,391876,22113,5.64%,11.48%,0.65%,2.14%,2.24%,4.17,2878324,20148267,2533295,12.57%,1113.05,731259,3.63%,321.29,859587,4.27%,377.67,4124141,20.47%,1812.01,3712158,1631,1952.29,8852,7040,1222.58
CR,Priority 2,11,445,146,3.05,3.71,1289.82,52844,369907,22940,6.20%,15.42%,0.96%,2.71%,2.63%,4.21,3538314,24768195,3532673,14.26%,1133.72,578357,2.34%,185.61,1067934,4.31%,342.73,5178964,20.91%,1662.06,4712003,1512.2,1697.8,7949,6287,1151.23
CR,,11,188,25,7.38,19.03,216.67,10537,73760,5534,7.50%,25.73%,1.93%,1.30%,3.66%,4.17,1552307,10866152,2432920,22.39%,1852.95,1521856,14.01%,1159.07,497807,4.58%,379.14,4452583,40.98%,3391.15,225301,171.59,1330.66,8276,4885,1273.3
CR,Priority 5,11,216,576,0.38,1.39,4887.15,123643,865498,33873,3.91%,5.54%,0.22%,8.18%,3.04%,4.17,1968177,13777239,1004223,7.29%,662.85,560328,4.07%,369.85,696779,5.06%,459.92,2261330,16.41%,1492.63,2672647,1764.12,2133.98,9094,7601,1256.28
PE,Priority 1,11,1009,100,10.07,10.45,953.02,63204,442426,40667,9.19%,18.46%,1.70%,0.67%,2.04%,4.19,43161,302128.2,90723,30.03%,12.84,23080,7.64%,3.27,15827,5.24%,2.24,129630,42.91%,18.35,30688,4.34,7.61,43,24,4.59
PE,Priority 4,11,264,120,2.19,2.94,1038.96,42205,295432,19168,6.49%,11.15%,0.72%,4.12%,2.55%,4.12,10568,73974,15304,20.69%,8.29,6257,8.46%,3.39,5013,6.78%,2.72,26575,35.92%,14.4,8761,4.75,8.14,40,26,4.42
PE,Priority 2,11,385,224,1.72,2.6,1663.56,63116,441811,30566,6.92%,10.10%,0.70%,2.59%,3.60%,4.02,16581,116063.9,23993,20.67%,8.9,7829,6.75%,2.9,8486,7.31%,3.15,40309,34.73%,14.95,15272,5.66,8.57,43,28,4.54
PE,Priority 3,11,70,116,0.61,1.88,926.88,29307,205150,9049,4.41%,6.25%,0.28%,4.13%,3.04%,4.22,2712,18984.9,2320,12.22%,4.71,1263,6.65%,2.56,1402,7.38%,2.84,4985,26.26%,10.11,2819,5.72,8.28,39,28,4.3
PE,Priority 5,11,354,936,0.38,1.48,6741.03,225066,1575462,62209,3.95%,4.82%,0.19%,6.91%,3.55%,4.09,14096,98675.4,10594,10.74%,4.28,8700,8.82%,3.51,8188,8.30%,3.31,27482,27.85%,11.09,14092,5.69,9.2,40,29,4.42
PE,,11,21,32,0.65,1.77,218.8,6019,42130,2165,5.14%,7.34%,0.38%,3.25%,4.76%,4.11,813,5689.2,9,0.16%,0.06,1574,27.67%,10.71,580,10.20%,3.95,2164,38.03%,14.72,-72,-0.49,10.22,39,24,4.42
MX,Priority 1,10,50928,3427,14.86,14.85,27676.53,3021865,21153056,1614846,7.63%,23.12%,1.77%,0.73%,1.54%,4.45,12238437,85669060.6,14697353,17.16%,41.25,1990304,2.33%,5.59,3217974,3.76%,9.03,19905631,23.24%,55.87,15592709,43.76,49.35,240,185,29.84
MX,Priority 2,10,16385,3538,4.63,5.19,23423.27,1327752,9294262,674320,7.26%,18.35%,1.33%,2.32%,1.65%,4.42,3836183,26853282,2953869,11.00%,25.79,560725,2.09%,4.89,917512,3.42%,8.01,4432105,16.50%,38.69,5487524,47.9,52.81,234,196,28.36
MX,Priority 3,10,979,945,1.04,2.2,7461.62,245483,1718383,84912,4.94%,8.89%,0.44%,3.64%,1.81%,4.28,290409,2032860,152638,7.51%,22.27,107951,5.34%,15.75,63498,3.12%,9.26,324087,15.94%,47.28,374697,54.66,70.49,297,249,30.74
MX,Priority 4,10,25739,8482,3.03,3.59,63079.02,3564728,24953096,1503893,6.03%,12.96%,0.78%,2.67%,1.70%,4.43,6618965,46332756,4608446,9.95%,25.6,1730737,3.74%,9.61,1554884,3.36%,8.64,7894068,17.04%,43.85,8889417,49.38,59.01,257,214,30.65
MX,,10,514,187,2.74,5.96,1199.4,53525,374673,25819,6.89%,14.76%,1.02%,2.27%,1.75%,4.88,125807,880647.2,107906,12.25%,30.02,110633,12.62%,30.78,32587,3.70%,9.07,251127,28.52%,69.87,83158,23.14,54.07,245,175,30.63
MX,Priority 5,10,6937,9749,0.71,1.91,68675.01,3520299,24642094,828410,3.36%,6.78%,0.23%,7.06%,2.21%,4.39,1788462,12519231.3,830614,6.63%,17.13,938444,7.52%,19.35,424258,3.39%,8.75,2193316,17.52%,45.22,2075897,42.8,62.2,258,213,29.8
CO,Priority 3,10,280,228,1.23,2.67,1800.3,63341,443387,24949,5.63%,9.20%,0.52%,2.54%,2.91%,4.25,14366280,100563960,17796939,17.70%,9070.82,5089756,5.06%,2594.17,10580213,10.52%,5392.57,33466908,33.28%,17057.55,11187151,5701.91,8296.08,51256,34198,6402.56
CO,Priority 4,10,2182,807,2.7,3.46,6851.21,410554,2873877,178867,6.22%,9.68%,0.60%,2.65%,3.00%,4.28,98195293,687367048,130556998,18.99%,8546.54,33183237,4.83%,2172.25,85034368,12.37%,5566.53,248774603,36.19%,16285.32,78643563,5148.18,7320.76,44997,28711,6088.73
CO,,10,138,86,1.6,3.7,605.96,23472,164305,11029,6.71%,9.96%,0.67%,5.01%,4.24%,4.28,5784322,40490257,5822753,14.38%,6027.69,7017484,17.33%,7264.48,5090736,12.57%,5269.91,17930973,44.28%,18562.08,497772,515.29,7779.77,41915,23353,6197.05
CO,Priority 1,10,6152,330,18.63,18.75,3019.21,498978,3492843,270575,7.75%,17.10%,1.32%,0.57%,2.72%,4.31,285463635,1998245444,571405856,28.60%,13310.18,70316196,3.52%,1637.93,246743117,12.35%,5747.57,888465169,44.46%,20695.67,207414223,4831.45,6470.77,46547,25851,6130.69
CO,Priority 2,10,2958,700,4.23,5.13,5322.5,348766,2441359,176629,7.23%,13.19%,0.95%,2.27%,2.63%,4.37,131110347,917772426,174362770,19.00%,8439.63,30025630,3.29%,1453.32,115419067,12.58%,5586.6,319807467,34.85%,15479.55,115922560,5610.97,7070.78,44423,28943,6065.4
CO,Priority 5,10,1252,2174,0.58,1.83,15481.18,604307,4230146,176670,4.18%,6.06%,0.25%,7.77%,3.21%,4.35,55464280,388249961,55101087,14.19%,6291.51,18584569,4.80%,2122.01,49545956,12.76%,5657.22,123231612,31.74%,14070.75,49668849,5671.25,7798.96,44331,30260,6103.14
CR,Priority 1,10,1058,85,12.39,12.51,907.31,79711,557979,37511,6.72%,21.04%,1.41%,0.51%,1.98%,4.3,8574703,60022920,10833557,18.05%,1462.41,1552054,2.59%,209.51,2613941,4.35%,352.85,14999552,24.99%,2024.78,10438530,1409.09,1618.6,8102,6078,1167.27
CR,Priority 3,10,19,24,0.81,1.65,216.14,4718,33026,1871,5.67%,8.07%,0.46%,3.47%,2.22%,4.52,196498,1375488,69476,5.05%,514.64,7872,0.57%,58.31,81762,5.94%,605.64,159110,11.57%,1178.59,319025,2363.15,2421.46,10189,9010,1304.72
CR,Priority 4,10,304,159,1.92,2.52,1540.71,55533,388731,21379,5.50%,11.07%,0.61%,2.72%,1.93%,4.3,2675710,18729973,2565509,13.70%,1205.03,246253,1.35%,115.67,913327,4.88%,428.99,3725089,19.89%,1749.69,3819362,1793.97,1912.34,8798,7048,1206.69
CR,Priority 2,10,436,147,2.97,3.62,1290.42,52415,366907,22512,6.14%,15.45%,0.95%,2.79%,2.19%,4.22,3531475,24720324,3603017,14.58%,1179.38,378517,1.53%,123.9,1085554,4.39%,355.34,5067088,20.50%,1658.62,4897710,1603.18,1727.08,8092,6433,1157.09
CR,,10,95,10,9.38,25.62,85.19,4267,29869,2368,7.93%,30.74%,2.44%,1.00%,4.05%,4.11,763604,5345231,1534593,28.71%,2304.19,380167,7.11%,570.82,255571,4.78%,383.74,2170331,40.60%,3258.76,382438,574.23,1145.05,8026,4767,1266.65
CR,Priority 5,10,210,579,0.36,1.42,4948.36,114454,801179,30837,3.85%,5.73%,0.22%,6.03%,2.59%,4.24,1870331,13092318,1021026,7.80%,694.58,148206,1.13%,100.82,631404,4.82%,429.53,1800636,13.75%,1224.92,2919640,1986.15,2086.97,8906,7681,1226.94
PE,Priority 1,10,1015,100,10.15,10.37,941.03,65298,457084,41510,9.08%,18.13%,1.65%,0.76%,2.21%,4.25,44897,314280.4,96718,30.77%,13.61,20953,6.67%,2.95,19020,6.05%,2.68,136691,43.49%,19.24,35571,5.01,7.95,44,25,4.32
PE,Priority 4,10,280,122,2.29,3.02,1038.01,44048,308334,20086,6.51%,11.29%,0.74%,4.43%,2.65%,4.27,11627,81389.7,17087,20.99%,8.72,7810,9.60%,3.98,6384,7.84%,3.26,31281,38.43%,15.96,8894,4.54,8.52,42,26,4.35
PE,Priority 2,10,427,228,1.87,2.77,1692.33,70777,495440,33624,6.79%,10.33%,0.70%,2.98%,3.11%,4.16,19281,134963.8,30617,22.69%,10.25,7719,5.72%,2.58,10906,8.08%,3.65,49242,36.49%,16.48,19035,6.37,8.95,45,29,4.3
PE,Priority 3,10,71,113,0.63,1.73,916.8,30766,215360,9383,4.36%,6.19%,0.27%,1.91%,3.82%,3.81,3132,21922.5,2885,13.16%,5.79,2167,9.89%,4.35,1657,7.56%,3.33,6709,30.60%,13.47,2624,5.27,9.62,44,31,4.33
PE,Priority 5,10,397,951,0.42,1.49,6838.04,252537,1767762,68151,3.86%,4.94%,0.19%,6.45%,3.42%,4.05,16266,113860.9,12778,11.22%,4.6,9655,8.51%,3.47,9565,8.40%,3.44,31998,28.10%,11.51,16737,6.02,9.51,41,29,4.32
PE,,10,9,14,0.64,2,76.69,2393,16751,785,4.69%,9.30%,0.44%,12.00%,3.23%,5.93,309,2163.3,17,0.79%,0.28,597,27.60%,9.63,182,8.43%,2.94,797,36.83%,12.85,-33,-0.54,9.1,35,22,4.12
