R burn,priority_5
month,Old priority,New priority
1,6885421.0,7215306.0
2,5086168.0,4198682.0
3,5471740.0,4144008.0
4,3650290.0,2711743.0
5,4302513.0,3046892.0
6,5636989.0,2813630.0
