B2c gmv,priority_5
month,Old priority,New priority
1,0.01084129,0.0117737270246724
2,0.026973,0.0255138581159392
3,0.02690625,0.0183292544117927
4,0.00628281,0.0050613277868735
5,0.00393759,0.0024186938854412
6,0.01069672,0.0024300877271868

B2c per order,priority_5
month,Old priority,New priority
1,95.91083084412,101.67107703722024
2,246.721686746988,227.19017694724656
3,250.564018218623,166.51506987708368
4,57.447104771608,45.29788203142792
5,35.635298002311,21.288883908561186
6,99.691808346213,22.111594867094407

B2c total burn,priority_5
month,Old priority,New priority
1,866938.0,822214.0
2,1843011.0,1373819.0
3,1980458.0,988933.0
4,338306.0,198903.0
5,215843.0,94991.0
6,645006.0,96495.0

Bad rating rate,priority_5
month,Old priority,New priority
1,0.0351808828410222,0.031779399035489
2,0.0348058902275769,0.0325781379196295
3,0.03125,0.0319919178312847
4,0.0281881473934454,0.0307447050785698
5,0.0242694403169886,0.0255490811295383
6,0.0302936630602782,0.0284142988084326

B cancel rate,priority_5
month,Old priority,New priority
1,0.0774889651790093,0.0754841549295774
2,0.0672903922274199,0.0705014749262537
3,0.078506354740749,0.0839649279239114
4,0.0783361165932898,0.081897425501723
5,0.0767424798239178,0.0800556217719507
6,0.0760321569696143,0.0851910828025477

B p1p2,priority_5
month,Old priority,New priority
1,0.0029018101916125,0.0030792093977135
2,0.0028465434320888,0.0028816625218798
3,0.0021904164641854,0.0021008012790719
4,0.002102072869341,0.0019769310530218
5,0.0022535434956153,0.0020227805011592
6,0.0021237958436013,0.00177267889452

Daily online hours,priority_5
month,Old priority,New priority
1,5221.022204301075,3902.378620071691
2,5377.313160919542,3938.977471264357
3,4998.759623655914,3564.0299910394288
4,4950.556731481482,3552.915037037041
5,4934.483225806451,3659.094444444449
6,4749.0915,3534.0505370370424

Daily orders,priority_5
month,Old priority,New priority
1,291.5806451612903,260.8709677419355
2,257.58620689655174,208.51724137931035
3,254.96774193548387,191.5806451612904
4,196.3,146.36666666666667
5,195.3870967741936,143.93548387096774
6,215.66666666666663,145.46666666666667

Exposure uv,priority_5
month,Old priority,New priority
1,3866552,3224529
2,3228477,2598847
3,4420164,3496285
4,3441365,2736059
5,3324542,2724962
6,3794150,3084597

Healthy stores,priority_5
month,Old priority,New priority
1,476.1612903225807,358.35483870967744
2,497.8965517241379,366.7586206896552
3,460.3225806451613,329.1290322580645
4,460.8333333333333,332.3333333333333
5,448.2258064516129,334.5806451612903
6,434.6,325.5

Imperfect orders,priority_5
month,Old priority,New priority
1,324.0,266.0
2,257.0,206.0
3,249.0,190.0
4,174.0,140.0
5,181.0,146.0
6,193.0,112.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4781527719001269,0.5664355256706591
2,0.4117517363025025,0.4507640700708162
3,0.435578088835005,0.4546776910120961
4,0.3386234259099534,0.3509150483497163
5,0.34362058206161,0.3380559133267671
6,0.3936001946708845,0.3524186384559477

R burn,priority_5
month,Old priority,New priority
1,6885421.0,7215306.0
2,5086168.0,4198682.0
3,5471740.0,4144008.0
4,3650290.0,2711743.0
5,4302513.0,3046892.0
6,5636989.0,2813630.0

R burn gmv,priority_5
month,Old priority,New priority
1,0.086104,0.1033198695759028
2,0.074437539,0.0779757572299903
3,0.074338362,0.0768065955090024
4,0.067790878,0.0690035856510951
5,0.078490118,0.0775810239917444
6,0.093483302,0.0708572229840389

R burn per order,priority_5
month,Old priority,New priority
1,761.7458789689125,892.2104612340794
2,680.879250334672,694.341326277493
3,692.2747975708502,697.7619127799293
4,619.8488707760231,617.5684354361193
5,710.3372956909361,682.8534289556253
6,871.250231839258,644.7364802933089

Ted,priority_5
month,Old priority,New priority
1,11898770.0,11556840.0
2,10490965.0,8271118.0
3,10979850.0,7664274.0
4,6792133.0,4955425.0
5,7544881.0,5370981.0
6,9842976.0,5445191.0

Ted gmv,priority_5
month,Old priority,New priority
1,0.148797248,0.1654886433797232
2,0.153538305,0.1536069388414276
3,0.149170841,0.1420525233030835
4,0.1261392,0.1260967921462609
5,0.137640166,0.1367577865642116
6,0.163235,0.1371293001843461

