Healthy stores,priority_5
month,Old priority,New priority
1,476.1612903225807,358.35483870967744
2,497.8965517241379,366.7586206896552
3,460.3225806451613,329.1290322580645
4,460.8333333333333,332.3333333333333
5,448.2258064516129,334.5806451612903
6,434.6,325.5
