Daily online hours,priority_5
month,Old priority,New priority
1,5221.022204301075,3902.378620071691
2,5377.313160919542,3938.977471264357
3,4998.759623655914,3564.0299910394288
4,4950.556731481482,3552.915037037041
5,4934.483225806451,3659.094444444449
6,4749.0915,3534.0505370370424
