B cancel rate,priority_5
month,Old priority,New priority
1,0.0774889651790093,0.0754841549295774
2,0.0672903922274199,0.0705014749262537
3,0.078506354740749,0.0839649279239114
4,0.0783361165932898,0.081897425501723
5,0.0767424798239178,0.0800556217719507
6,0.0760321569696143,0.0851910828025477
